project_id,project_name,project_type,total_value,cofinancing_value,regions,beneficiary_name,currency,country,years
23,Prace na linii kolejowej nr 216 na odcinku Działdowo - Olsztyn,['transport'],971551839.9,397977550.5,['warmińsko-mazurskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
24,Wdrażanie instrumentów finansowych w ramach Regionalnego Programu Operacyjnego Województwa Śląskiego na lata 2014-2020,['development of the corporations'],463639647.1,394093700.0,['śląskie'],EUROPEJSKI FUNDUSZ INWESTYCYJNY,PLN,Poland,2014-2020
25,Ochrona przed powodzią Kotliny Kłodzkiej ze szczególnym uwzględnieniem ochrony miasta Kłodzka,['environmental'],993147857.6,369569729.4,['dolnośląskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE - REGIONALNY ZARZĄD GOSPODARKI WODNEJ WE WROCŁAWIU,PLN,Poland,2014-2020
26,"Budowa drogi S7 Radom (Jedlińsk) – Jędrzejów, odc. w. Chęciny – Jędrzejów",['transport'],767817492.5,361169872.3,['świętokrzyskie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
27,Prace na linii kolejowej nr 25 na odcinku Skarżysko Kamienna – Sandomierz,['transport'],861374164.0,357225997.8,['świętokrzyskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
28,Gazociąg Lwówek-Odolanów,['power engineering'],765019511.2,350770004.5,"['dolnośląskie', ' wielkopolskie']",OPERATOR GAZOCIĄGÓW PRZESYŁOWYCH GAZ-SYSTEM S.A.,PLN,Poland,2014-2020
29,Gdański Projekt Komunikacji Miejskiej - etap IV A.,['transport'],641159254.9,329738886.9,['pomorskie'],GMINA MIASTA GDAŃSKA,PLN,Poland,2014-2020
30,"Prace na liniach kolejowych nr 68, 565 na odcinku Lublin – Stalowa Wola Rozwadów wraz z elektryfikacją",['transport'],528215247.4,327465477.5,"['lubelskie', ' podkarpackie']",PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
31,Dostępność Plus dla zdrowia,['Other'],353885142.0,298254397.7,['projekt ogólnopolski'],MINISTER WŁAŚCIWY DS. ZDROWIA - DEPARTAMENT INNOWACJI,PLN,Poland,2014-2020
32,Budowa obwodnicy Wałbrzycha w ciągu drogi krajowej nr 35,['transport'],398194438.3,292063053.0,['dolnośląskie'],GMINA WAŁBRZYCH,PLN,Poland,2014-2020
33,PIONIER-LAB – Krajowa Platforma Integracji Infrastruktur Badawczych z Ekosystemami Innowacji,['education'],509140527.7,289442264.0,"['dolnośląskie', ' kujawsko-pomorskie', ' łódzkie', ' lubelskie', ' lubuskie', ' małopolskie', ' mazowieckie', ' opolskie', ' podkarpackie', ' podlaskie', ' pomorskie', ' śląskie', ' świętokrzyskie', ' warmińsko-mazurskie', ' wielkopolskie', ' zachodniopomorskie']",INSTYTUT CHEMII BIOORGANICZNEJ POLSKIEJ AKADEMII NAUK,PLN,Poland,2014-2020
34,"Rewitalizacja linii kolejowej nr 25 na odcinku Padew – Mielec - Dębica, Etap I",['Other'],426765790.1,286159034.5,['podkarpackie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
35,Zakup taboru autobusowego (130 niskopodłogowych autobusów niskoemisyjnych) wraz z infrastrukturą towarzyszącą,['transport'],408660574.8,281888900.0,['mazowieckie'],MIEJSKIE ZAKŁADY AUTOBUSOWE SP. Z O.O.,PLN,Poland,2014-2020
36,Usprawnienie systemu ratownictwa w transporcie kolejowym - etap I,['transport'],328249924.2,277162458.1,['projekt ogólnopolski'],KOMENDA GŁÓWNA PAŃSTWOWEJ STRAŻY POŻARNEJ,PLN,Poland,2014-2020
37,Usprawnienie systemu ratownictwa na drogach – etap IV,['transport'],323087440.7,274596699.6,['projekt ogólnopolski'],KOMENDA GŁÓWNA PAŃSTWOWEJ STRAŻY POŻARNEJ,PLN,Poland,2014-2020
38,Pogłębianie toru podejściowego i akwenów wewnętrznych Portu Gdynia - etapy I i III oraz przebudowa nabrzeży w Porcie Gdynia - etapy II i III,['transport'],1281272131.0,273000000.0,['pomorskie'],ZARZĄD MORSKIEGO PORTU GDYNIA S.A.,PLN,Poland,2014-2020
39,Budowa zakładu termicznego przekształcania odpadów komunalnych w Gdańsku,['environmental'],768432828.0,270696804.8,['pomorskie'],PORT CZYSTEJ ENERGII SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PLN,Poland,2014-2020
40,Budowa DW 669 w Białymstoku na odcinku od skrzyżowania al. Jana Pawła II z ul. Narodowych Sił Zbrojnych (DW 676/DW 669) do ul. Ciołkowskiego (DW 678),['transport'],336751467.9,266581904.1,['podlaskie'],MIASTO BIAŁYSTOK,PLN,Poland,2014-2020
41,Zakup niskopodłogowego taboru tramwajowego w celu usprawnienia i poprawy jakości miejskiej komunikacji zbiorowej w Krakowie – część I i II,['transport'],447187114.8,265516377.5,['małopolskie'],MIEJSKIE PRZEDSIĘBIORTWO KOMUNIKACYJNE S.A. W KRAKOWIE,PLN,Poland,2014-2020
42,Poprawa funkcjonowania komunikacji miejskiej w Toruniu – BiT City II,['transport'],459836062.8,260909352.7,['kujawsko-pomorskie'],GMINA MIASTA TORUŃ,PLN,Poland,2014-2020
43,Rozszerzenie potencjału przewozowego kolei metropolitarnej na terenie Warszawskiego Obszaru Funkcjonalnego - etap I.,['transport'],611773589.9,259323756.1,['mazowieckie'],SZYBKA KOLEJ MIEJSKA SP. Z O.O.,PLN,Poland,2014-2020
44,Prace na linii kolejowej nr 219 na odcinku Szczytno - Ełk,['transport'],384140185.2,256170602.4,['warmińsko-mazurskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
45,"Prace na liniach kolejowych nr 140, 148, 157, 159, 173, 689, 691 na odcinku Chybie – Żory – Rybnik – Nędza/Turze",['transport'],477183245.7,253278212.1,['śląskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
46,„Poprawa dostępności komunikacyjnej miasta Białegostoku od strony Warszawy (droga krajowa wylotowa z Białegostoku – dojazd do S8)” (tytuł z Planu Transportowego POPW - Przebudowa DK8 na odcinku od granicy miasta Białystok do węzła Porosły (DK8) oraz przebudowa DW676 na odcinku od skrzyżowania al. Jana Pawła II z ul. Narodowych Sił Zbrojnych w Białymstoku (DW676/DW669) do węzła Porosły (DK8) – wyprowadzenie ruchu w kierunku S8),['transport'],318727849.1,252847439.1,['podlaskie'],MIASTO BIAŁYSTOK,PLN,Poland,2014-2020
47,Budowa Wielkopolskiego Centrum Zdrowia Dziecka (szpitala pediatrycznego) wraz z jego wyposażeniem,"['Other', 'work and social development']",457587644.1,251305977.8,['wielkopolskie'],SAMORZĄD WOJEWÓDZTWA WIELKOPOLSKIEGO,PLN,Poland,2014-2020
48,Rozbudowa Drogi Krajowej Nr 81 od węzła autostrady A4 z DK86 do budowanego węzła z ul. Armii Krajowej – Etap I,['transport'],303150933.6,244185084.5,['śląskie'],MIASTO KATOWICE,PLN,Poland,2014-2020
49,Wyposażenie nowej siedziby Szpitala Uniwersyteckiego Kraków-Prokocim,['Other'],293394772.5,236859689.9,['małopolskie'],SPZOZ SZPITAL UNIWERSYTECKI W KRAKOWIE,PLN,Poland,2014-2020
50,Budowa Osi Zachodniej we Wrocławiu w ciągu drogi krajowej nr 94,['transport'],382413434.9,233275064.0,['dolnośląskie'],WROCŁAW MIASTO NA PRAWACH POWIATU,PLN,Poland,2014-2020
51,Wdrażanie instrumentów finansowych w ramach Regionalnego Programu Operacyjnego Województwa Śląskiego na lata 2014-2020,['environmental'],269012894.1,228660960.0,['śląskie'],EUROPEJSKI BANK INWESTYCYJNY,PLN,Poland,2014-2020
52,Zabłudów - Nowosady - przebudowa drogi wojewódzkiej Nr 685,['transport'],264141660.3,223306709.9,['podlaskie'],WOJEWÓDZTWO PODLASKIE,PLN,Poland,2014-2020
53,Wsparcie rozwoju i konkurencyjności przedsiębiorstw przez instrumenty finansowe,['development of the corporations'],238612197.7,208124880.0,['warmińsko-mazurskie'],BANK GOSPODARSTWA KRAJOWEGO,PLN,Poland,2014-2020
54,Budowa Podmiejskiej Kolei Aglomeracyjnej - PKA: Budowa i modernizacja linii kolejowych oraz infrastruktury przystankowej,['transport'],483974219.8,208002816.9,['podkarpackie'],WOJEWÓDZTWO PODKARPACKIE,PLN,Poland,2014-2020
55,Poprawa dostępu do Portu w Szczecinie w rejonie Kanału Dębickiego,['transport'],488216501.1,203439790.2,['zachodniopomorskie'],ZARZĄD MORSKICH PORTÓW SZCZECIN I ŚWINOUJŚCIE S.A.,PLN,Poland,2014-2020
56,Przebudowa i rozbudowa Wojewódzkiego Szpitala Zespolonego im. L. Rydygiera w Toruniu,['work and social development'],261839695.1,197882307.4,['kujawsko-pomorskie'],WOJEWÓDZKI SZPITAL ZESPOLONY IM.L.RYDYGIERA W TORUNIU,PLN,Poland,2014-2020
57,Modernizacja jazów odrzańskich na odcinku w zarządzie RZGW Gliwice - woj. opolskie (etap II),['transport'],237931881.8,197643228.1,['opolskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE,PLN,Poland,2014-2020
58,Zintegrowane Centrum Komunikacyjne dla Lubelskiego Obszaru Funkcjonalnego,['power engineering'],345878222.6,196876834.7,['lubelskie'],GMINA LUBLIN,PLN,Poland,2014-2020
59,Rozbudowa ulicy Igołomskiej w Krakowie,['transport'],376216897.2,192947783.0,['małopolskie'],GMINA MIEJSKA KRAKÓW,PLN,Poland,2014-2020
60,Rozwój publicznego transportu zbiorowego w Wielkopolsce poprzez zakup nowego i modernizację taboru dla wojewódzkich przewozów kolejowych,['transport'],278453550.0,192427250.0,['wielkopolskie'],SAMORZĄD WOJEWÓDZTWA WIELKOPOLSKIEGO,PLN,Poland,2014-2020
61,Zakup taboru kolejowego do obsługi połączeń aglomeracyjnych,['transport'],245709757.7,192267779.6,['małopolskie'],WOJEWÓDZTWO MAŁOPOLSKIE,PLN,Poland,2014-2020
62,Budowa obwodnicy Stalowej Woli i Niska w ciągu dk 77,['transport'],286273481.3,191930053.3,['podkarpackie'],GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD,PLN,Poland,2014-2020
63,Modernizacja śluzy oraz sterowni na stopniu wodnym Krapkowice wraz z przebudową awanportów,['transport'],226964376.9,191606095.1,['opolskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE,PLN,Poland,2014-2020
64,Modernizacja śluzy oraz sterowni na stopniu wodnym Januszkowice wraz z przebudową awanportów,['transport'],226004305.0,189741552.1,['opolskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE REGIONALNY ZARZĄD GOSPODARKI WODNEJ W GLIWICACH,PLN,Poland,2014-2020
65,Budowa łącznicy kolejowej Kraków Zabłocie – Kraków Krzemionki,['transport'],357864109.0,189636533.4,['małopolskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
